Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1919,sale_of_noncompetent_land|average_price_per_acre,16.43, NA ,0,  NA  ,15.64,  NA  ,19.83,  NA  ,50.23,19.3023255813953
1919,sale_of_inherited_land|number_of_tracts,10, NA ,6, NA ,9, NA ,0, NA ,8,0
1919,sale_of_inherited_land|acreage,1458, NA ,340, NA ,480, NA ,0, NA ,720,0
1919,sale_of_inherited_land|total_proceeds,14504, NA ,32406, NA ,960, NA ,0, NA ,27369,0
1919,sale_of_inherited_land|average_price_per_acre,9.95, NA ,95.31, NA ,2,  NA  ,0,  NA  ,38.01,0
1919,sale_of_land|total_number_of_tracts,15, NA ,6, NA ,10,  NA  ,1,  NA  ,15,3
1919,sale_of_land|total_acreage,2030, NA ,340, NA ,560,  NA  ,121,  NA  ,963,43
1919,sale_of_land|total_proceeds,23900, NA ,32406, NA ,2211,  NA  ,2400,  NA  ,39576,830
1919,sale_of_land|total_average_price_per_acre,11.77, NA ,95.31, NA ,3.95,  NA  ,19.83,  NA  ,41.1,19.3023255813953
1920,number_of_allotments,1479,820,1115,967,2956,373,628,395,4488,1123
1920,allotted|total_acreage,226838,77442,82644,140292,355893,3728,64954,49305,451922,93757
1920,unallotted|total_acreage,794148,0,74130,322512,1009100,19952,82488,389,412404,168888
1920,total_reservation_acreage,1020985,77442,156774,462804,1364993,23680,147442,49694,864326,262645
1920,patent_in_fee_issues_since_1906|number_of_original_allotment,221,209,342,9,459, NA ,117,42,502,114
1920,patent_in_fee_issues_since_1906|acreage_original_allotment,35961.6,21097.82,23445.61,1263.12,48425.3, NA ,11583.5,4701.36,37620.93,9600
1920,patent_in_fee_issues_since_1906|number_of_inherited_land,24,66,76,7,24, NA ,2,1,307,16
1920,patent_in_fee_issues_since_1906|acreage_inherited_land,2689.39,5822.68,5133.89,1075.88,2478, NA ,200,163.85,23804.76,1193
1920,patent_in_fee_issues_since_1906|total_number,245,275,418,16,483, NA ,119,43,809,130
1920,patent_in_fee_issues_since_1906|total_acreage,38650.99,26920.5,28579.5,2339,50903.3, NA ,11783.5,4865.21,61425.69,10793
1920,patent_in_fee_issues|applications_received,92,90,27,6,89, NA ,11,6,76,80
1920,patent_in_fee_issues|applications_denied,0,0,5,0,0, NA ,0,3,0,11
1920,patent_in_fee_issues|applications_approved,92,90,22,6,89, NA ,11,3,76,69
1920,patent_in_fee_issues|acreage_approved,14634,9442,1459,899,9593, NA ,1056,403,5046,5867
1920,sale_of_noncompetent_land|number_of_tracts,6, NA ,10, NA ,4, NA ,0,3,25,6
1920,sale_of_noncompetent_land|acreage,759, NA ,695, NA ,321, NA ,0,262,1948,87
1920,sale_of_noncompetent_land|total_proceeds,7369, NA ,87339, NA ,9810, NA ,0,7460,114574,4079
1920,sale_of_noncompetent_land|average_price_per_acre,9.71, NA ,125.67, NA ,30.56, NA ,0,28.47,58.82,46.8850574712644
1920,sale_of_inherited_land|number_of_tracts,10, NA ,14, NA ,6, NA ,1,0,34,4
1920,sale_of_inherited_land|acreage,1056, NA ,591, NA ,922, NA ,120,0,2780,220
1920,sale_of_inherited_land|total_proceeds,11026, NA ,71357, NA ,18357, NA ,2025,0,130586,8034
1920,sale_of_inherited_land|average_price_per_acre,10.44, NA ,120.74, NA ,19.91, NA ,16.88,0,46.97,79.6232142857143
1920,sale_of_land|total_number_of_tracts,16, NA ,24, NA ,10, NA ,1,3,59,10
1920,sale_of_land|total_acreage,1815, NA ,1286, NA ,1243, NA ,120,262,4728,307
1920,sale_of_land|total_proceeds,18395, NA ,158696, NA ,28167, NA ,2025,7460,245160,12113
1920,sale_of_land|total_average_price_per_acre,10.13, NA ,123.4, NA ,22.66, NA ,16.88,28.47,51.85,86.9623898678414
